id,algorithm name,vertices,total cost,execution time,operation count
1,Prim,5,266,0.02,33
1,Kruskal,5,266,0.87,25
2,Prim,25,375,0.06,865
2,Kruskal,25,375,0.33,800
3,Prim,28,325,0.07,1086
3,Kruskal,28,325,0.31,1093
4,Prim,25,321,0.03,865
4,Kruskal,25,321,0.1,787
5,Prim,21,329,0.02,609
5,Kruskal,21,329,0.07,636
6,Prim,50,730,0.1,2990
6,Kruskal,50,730,0.2,2073
7,Prim,229,682,1.82,62883
7,Kruskal,229,682,5.55,47975
8,Prim,254,733,0.73,77368
8,Kruskal,254,733,3.17,60131
9,Prim,32,520,0.04,1222
9,Kruskal,32,520,0.06,768
10,Prim,188,727,0.28,42376
10,Kruskal,188,727,1.39,31895
11,Prim,75,629,0.06,6735
11,Kruskal,75,629,0.21,4771
12,Prim,47,625,0.02,2641
12,Kruskal,47,625,0.08,1629
13,Prim,147,742,0.17,25901
13,Kruskal,147,742,0.78,18601
14,Prim,238,728,0.41,67926
14,Kruskal,238,728,2.16,52730
15,Prim,92,615,0.07,10138
15,Kruskal,92,615,0.32,8121
16,Prim,454,2154,1.21,218456
16,Kruskal,454,2154,2.82,62922
17,Prim,985,2524,2.53,1028379
17,Kruskal,985,2524,10.49,316671
18,Prim,313,2394,0.33,103829
18,Kruskal,313,2394,1.47,30287
19,Prim,717,2442,0.83,544891
19,Kruskal,717,2442,3.8,166815
20,Prim,347,2154,0.22,127613
20,Kruskal,347,2154,0.9,36865
21,Prim,891,2411,1.2,841461
21,Kruskal,891,2411,5.44,257181
22,Prim,903,2548,1.16,864279
22,Kruskal,903,2548,5.32,263716
23,Prim,345,2010,0.18,126145
23,Kruskal,345,2010,0.77,35599
24,Prim,998,2540,1.37,1055704
24,Kruskal,998,2540,7.13,328035
25,Prim,762,2490,0.84,615436
25,Kruskal,762,2490,3.88,182759
26,Prim,1251,6368,1.66,1596277
26,Kruskal,1251,6368,3.48,175885
27,Prim,1562,6839,2.64,2488610
27,Kruskal,1562,6839,5.26,277228
28,Prim,1249,6532,1.54,1591177
28,Kruskal,1249,6532,3.46,179768
29,Prim,1644,6836,3.22,2756758
29,Kruskal,1644,6836,6.03,316985
30,Prim,1283,6711,1.55,1678985
30,Kruskal,1283,6711,3.26,186982
